year,iso_code,Population,GDPPC  2011,Real GDP ($ basis 2011 year),CO2 (in million metric tons),CO2(in metric tons)
1800,USA,6000000,2545.488,15272928000,0.253,253000
1801,USA,6113782,2591.7696,15845514329,0.267,267000
1802,USA,6229723,2635.48,16418310372,0.289,289000
1803,USA,6347862,2590.484,16444034945,0.297,297000
1804,USA,6468241,2587.9128,16739243677,0.333,333000
1805,USA,6590903,2643.1936,17421032628,0.341,341000
1806,USA,6715891,2690.7608,18070856240,0.333,333000
1807,USA,6843249,2717.7584,18598297453,0.377,377000
1808,USA,6973023,2526.204,17615278595,0.392,392000
1809,USA,7105258,2652.1928,18844514110,0.403,403000
1810,USA,7302908,2725.472,19903871273,0.418,418000
1811,USA,7502686,2780.7528,20863115102,0.447,447000
1812,USA,7728031,2731.9,21112207889,0.484,484000
1813,USA,7980135,2762.7544,22047153084,0.52,520000
1814,USA,8240464,2815.464,23200729735,0.561,561000
1815,USA,8509285,2803.8936,23859129752,0.601,601000
1816,USA,8786876,2690.7608,23643381495,0.663,663000
1817,USA,9073523,2688.1896,24391350164,0.718,718000
1818,USA,9369520,2694.6176,25247273496,0.78,780000
1819,USA,9667277,2690.7608,26012329994,0.762,762000
1820,USA,9966626,2674.048,26651236322,0.791,791000
1821,USA,10267384,2715.1872,27877869614,0.828,828000
1822,USA,10569360,2791.0376,29499481168,0.865,865000
1823,USA,10872345,2760.1832,30009664014,0.901,901000
1824,USA,11184015,2836.0336,31718242323,1.015,1015000
1825,USA,11504621,2897.7424,33337428068,1.136,1136000
1826,USA,11834416,2918.312,34536518226,1.315,1315000
1827,USA,12173666,2929.8824,35667409757,1.447,1447000
1828,USA,12522641,2929.8824,36689865467,1.594,1594000
1829,USA,12879737,2833.4624,36494250511,1.795,1795000
1830,USA,13245133,3039.1584,40254057216,2.088,2088000
1831,USA,13619015,3225.5704,43929091661,2.264,2264000
1832,USA,14001568,3342.56,46801081134,3.023,3023000
1833,USA,14392986,3459.5496,49793248959,3.528,3528000
1834,USA,14795346,3294.9928,48750558544,3.382,3382000
1835,USA,15208954,3419.696,52009999158,4.316,4316000
1836,USA,15634125,3469.8344,54247824739,4.73,4730000
1837,USA,16071181,3360.5584,54008142307,5.305,5305000
1838,USA,16520455,3329.704,55008225095,5.031,5031000
1839,USA,16991513,3491.6896,59329089230,5.518,5518000
1840,USA,17485246,3319.4192,58040861289,5.873,5873000
1841,USA,18002579,3252.568,58554612373,6.214,6214000
1842,USA,18544472,3222.9992,59768818420,6.918,6918000
1843,USA,19111919,3274.4232,62580510970,7.764,7764000
1844,USA,19696730,3453.1216,68015203812,9.307,9307000
1845,USA,20299435,3505.8312,71166392565,11.205,11205000
1846,USA,20920583,3526.4008,73774360628,12.71,12710000
1847,USA,21560737,3618.964,78027531016,15.07,15070000
1848,USA,22220480,3712.8128,82500482566,16.785,16785000
1849,USA,22899875,3616.3928,82814943071,18.221,18221000
1850,USA,23599506,3631.82,85709157881,19.793,19793000
1851,USA,24309683,3778.3784,91851181158,24.633,24633000
1852,USA,25040692,3971.2184,99442056819,26.791,26791000
1853,USA,25793143,4242.48,1.09427E+11,30.162,30162000
1854,USA,26568199,4254.0504,1.13022E+11,33.159,33159000
1855,USA,27366540,4161.4872,1.13886E+11,38.161,38161000
1856,USA,28188865,4247.6224,1.19736E+11,40.037,40037000
1857,USA,29035895,4156.3448,1.20683E+11,41.055,41055000
1858,USA,29908371,4176.9144,1.24925E+11,41.649,41649000
1859,USA,30763983,4288.7616,1.31939E+11,45.32,45320000
1860,USA,31601240,4401.8944,1.39105E+11,47.438,47438000
1861,USA,32418583,4311.9024,1.39786E+11,45.679,45679000
1862,USA,33214384,4446.8904,1.47701E+11,47.449,47449000
1863,USA,33986941,4733.5792,1.6088E+11,54.81,54810000
1864,USA,34777462,4889.1368,1.70032E+11,58.657,58657000
1865,USA,35586364,4637.1592,1.6502E+11,58.822,58822000
1866,USA,36414073,4599.8768,1.675E+11,59.232,59232000
1867,USA,37261027,4751.5776,1.77049E+11,72.866,72866000
1868,USA,38127674,4815.8576,1.83617E+11,82.352,82352000
1869,USA,39007998,4943.132,1.92822E+11,93.696,93696000
1870,USA,39902173,4803.0016,1.9165E+11,98.62,98620000
1871,USA,40810375,4918.7056,2.00734E+11,103.021,103021000
1872,USA,41732783,4991.9848,2.08329E+11,126.305,126305000
1873,USA,42669573,5116.688,2.18327E+11,139.507,139507000
1874,USA,43627383,4964.9872,2.16609E+11,134.297,134297000
1875,USA,44606685,5105.1176,2.27722E+11,135.748,135748000
1876,USA,45607961,5049.8368,2.30313E+11,132.82,132820000
1877,USA,46631704,5098.6896,2.37761E+11,147.176,147176000
1878,USA,47678418,5198.9664,2.47878E+11,143.904,143904000
1879,USA,48749140,5715.7776,2.78639E+11,175.469,175469000
1880,USA,49844419,6255.7296,3.11813E+11,198.684,198684000
1881,USA,50964818,6317.4384,3.21967E+11,210.193,210193000
1882,USA,52110912,6557.8456,3.41735E+11,235.394,235394000
1883,USA,53283291,6559.1312,3.49492E+11,253.883,253883000
1884,USA,54482036,6523.1344,3.55394E+11,267.59,267590000
1885,USA,55707739,6424.1432,3.57874E+11,272.162,272162000
1886,USA,56961007,6471.7104,3.68635E+11,287.463,287463000
1887,USA,58242459,6616.9832,3.85389E+11,307.381,307381000
1888,USA,59552729,6447.284,3.83953E+11,373.875,373875000
1889,USA,60843105,6705.6896,4.07995E+11,335.542,335542000
1890,USA,62112247,6664.5504,4.1395E+11,401.747,401747000
1891,USA,63358765,6811.1088,4.31543E+11,427.425,427425000
1892,USA,64581224,7324.0632,4.72997E+11,450.449,450449000
1893,USA,65778137,6834.2496,4.49544E+11,454.095,454095000
1894,USA,66997221,6510.2784,4.36171E+11,425.05,425050000
1895,USA,68238885,7159.5064,4.88557E+11,479.948,479948000
1896,USA,69503549,6885.6736,4.78579E+11,480.882,480882000
1897,USA,70791637,7406.3416,5.24307E+11,500.287,500287000
1898,USA,72103583,7426.9112,5.35507E+11,545.321,545321000
1899,USA,73449404,7959.1496,5.84595E+11,625.534,625534000
1900,USA,74829905,8037.5712,6.01451E+11,662.738,662738000
1901,USA,76245912,8770.3632,6.68704E+11,721.528,721528000
1902,USA,77698268,8684.228,6.74749E+11,764.496,764496000
1903,USA,79187838,8941.348,7.08046E+11,894.407,894407000
1904,USA,80705948,8663.6584,6.99209E+11,882.058,882058000
1905,USA,82253148,9121.332,7.50258E+11,986.482,986482000
1906,USA,83829992,9980.1128,8.36633E+11,1035.471,1035471000
1907,USA,85437050,9950.544,8.50145E+11,1203.861,1203861000
1908,USA,87074899,8975.9761,7.81582E+11,1052.813,1052813000
